"CDM_LVL"	"CDM_LVL_NAME"	"Titel"	"Quelle"	"Publikation"	"Ausgabe"	"Autor"	"Jahr"	"Verlag"	"Ort"	"Typ"	"Dateiformat"	"Bemerkungen"	"Dateiname"	
	"Rätoromanische Chrestomathie I. Band 1. Lieferung"	"Rätoromanische Chrestomathie I. Band 1. Lieferung"	"http://www.digizeitschriften.de/resolveppn/PPN345572629_0004"	"Romanische Forschungen"	"4"	"C. Decurtins"	"1891"	"Junge"	"Erlangen"	"Image"	"image/tif"	
"0"	"Rätoromanische Chrestomathie I. Band 1. Lieferung"	"Titelblatt"										"o"	"00000005.tif"	
()()()()()()"1"	"Chapter 1: Daniel Bonifaci"	"1"										"o"	"00000007.tif"	
"1"	"Chapter 1: Daniel Bonifaci"	"2"										"o"	"00000008.tif"	
"1"	"Chapter 1: Daniel Bonifaci"	"3"										"o"	"00000009.tif"	
"1"	"Chapter 1: Daniel Bonifaci"	"4"										"o"	"00000010.tif"	
"1"	"Chapter 1: Daniel Bonifaci"	"5"										"o"	"00000011.tif"	
"1"	"Chapter 1: Daniel Bonifaci"	"6"										"o"	"00000012.tif"	
"1"	"Chapter 1: Daniel Bonifaci"	"7"										"o"	"00000013.tif"	
"1"	"Chapter 1: Daniel Bonifaci"	"8"										"o"	"00000014.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"9"										"o"	"00000015.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"10"										"o"	"00000016.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"11"										"o"	"00000017.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"12"										"o"	"00000018.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"13"										"o"	"00000019.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"14"										"o"	"00000020.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"15"										"o"	"00000021.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"16"										"o"	"00000022.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"17"										"o"	"00000023.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"18"										"o"	"00000024.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"19"										"o"	"00000025.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"20"										"o"	"00000026.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"21"										"o"	"00000027.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"22"										"o"	"00000028.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"23"										"o"	"00000029.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"24"										"o"	"00000030.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"25"										"o"	"00000031.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"26"										"o"	"00000032.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"27"										"o"	"00000033.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"28"										"o"	"00000034.tif"	
"1"	"Chapter 2: Gion Antoni Calvenzano"	"29"										"o"	"00000035.tif"	
"1"	"Chapter 3: Adam Nauli"	"30"										"o"	"00000036.tif"	
"1"	"Chapter 3: Adam Nauli"	"31"										"o"	"00000037.tif"	
"1"	"Chapter 3: Adam Nauli"	"32"										"o"	"00000038.tif"	
"1"	"Chapter 3: Adam Nauli"	"33"										"o"	"00000039.tif"	
"1"	"Chapter 3: Adam Nauli"	"34"										"o"	"00000040.tif"	
"1"	"Chapter 3: Adam Nauli"	"35"										"o"	"00000041.tif"	
"1"	"Chapter 3: Adam Nauli"	"36"										"o"	"00000042.tif"	
"1"	"Chapter 4: Ilg Celestial Hierusalem"	"37"										"o"	"00000043.tif"	
"1"	"Chapter 4: Ilg Celestial Hierusalem"	"38"										"o"	"00000044.tif"	
"1"	"Chapter 4: Ilg Celestial Hierusalem"	"39"										"o"	"00000045.tif"	
"1"	"Chapter 5: Rhetus"	"40"										"o"	"00000046.tif"	
"1"	"Chapter 5: Rhetus"	"41"										"o"	"00000047.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"42"										"o"	"00000048.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"43"										"o"	"00000049.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"44"										"o"	"00000050.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"45"										"o"	"00000051.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"46"										"o"	"00000052.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"47"										"o"	"00000053.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"48"										"o"	"00000054.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"49"										"o"	"00000055.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"50"										"o"	"00000056.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"51"										"o"	"00000057.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"52"										"o"	"00000058.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"53"										"o"	"00000059.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"54"										"o"	"00000060.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"55"										"o"	"00000061.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"56"										"o"	"00000062.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"57"										"o"	"00000063.tif"	
"1"	"Chapter 6: Steffan Gabriel"	"58"										"o"	"00000064.tif"	
"1"	"Chapter 7: Luci Gabriel"	"59"										"o"	"00000065.tif"	
"1"	"Chapter 7: Luci Gabriel"	"60"										"o"	"00000066.tif"	
"1"	"Chapter 7: Luci Gabriel"	"61"										"o"	"00000067.tif"	
"1"	"Chapter 7: Luci Gabriel"	"62"										"o"	"00000068.tif"	
"1"	"Chapter 7: Luci Gabriel"	"63"										"o"	"00000069.tif"	
"1"	"Chapter 7: Luci Gabriel"	"64"										"o"	"00000070.tif"	
"1"	"Chapter 7: Luci Gabriel"	"65"										"o"	"00000071.tif"	
"1"	"Chapter 7: Luci Gabriel"	"66"										"o"	"00000072.tif"	
"1"	"Chapter 7: Luci Gabriel"	"67"										"o"	"00000073.tif"	
"1"	"Chapter 7: Luci Gabriel"	"68"										"o"	"00000074.tif"	
"1"	"Chapter 7: Luci Gabriel"	"69"										"o"	"00000075.tif"	
"1"	"Chapter 7: Luci Gabriel"	"70"										"o"	"00000076.tif"	
"1"	"Chapter 7: Luci Gabriel"	"71"										"o"	"00000077.tif"	
"1"	"Chapter 7: Luci Gabriel"	"72"										"o"	"00000078.tif"	
"1"	"Chapter 8: Canzun"	"73"										"o"	"00000079.tif"	
"1"	"Chapter 9: M. Ludwig Molitor"	"74"										"o"	"00000080.tif"	
"1"	"Chapter 9: M. Ludwig Molitor"	"75"										"o"	"00000081.tif"	
"1"	"Chapter 9: M. Ludwig Molitor"	"76"										"o"	"00000082.tif"	
"1"	"Chapter 9: M. Ludwig Molitor"	"77"										"o"	"00000083.tif"	
"1"	"Chapter 9: M. Ludwig Molitor"	"78"										"o"	"00000084.tif"	
"1"	"Chapter 10: Ün Rieug"	"79"										"o"	"00000085.tif"	
"1"	"Chapter 11: Fuorma"	"80"										"o"	"00000086.tif"	
"1"	"Chapter 11: Fuorma"	"81"										"o"	"00000087.tif"	
"1"	"Chapter 11: Fuorma"	"82"										"o"	"00000088.tif"	
"1"	"Chapter 11: Fuorma"	"83"										"o"	"00000089.tif"	
"1"	"Chapter 12: Fuorma da menar il dreig"	"84"										"o"	"00000090.tif"	
"1"	"Chapter 12: Fuorma da menar il dreig"	"85"										"o"	"00000091.tif"	
"1"	"Chapter 12: Fuorma da menar il dreig"	"86"										"o"	"00000092.tif"	
"1"	"Chapter 12: Fuorma da menar il dreig"	"87"										"o"	"00000093.tif"	
"1"	"Chapter 12: Fuorma da menar il dreig"	"88"										"o"	"00000094.tif"	
"1"	"Chapter 13: Zacharias da Salo"	"89"										"o"	"00000095.tif"	
"1"	"Chapter 13: Zacharias da Salo"	"90"										"o"	"00000096.tif"	
"1"	"Chapter 13: Zacharias da Salo"	"91"										"o"	"00000097.tif"	
"1"	"Chapter 13: Zacharias da Salo"	"92"										"o"	"00000098.tif"	
"1"	"Chapter 13: Zacharias da Salo"	"93"										"o"	"00000099.tif"	
"1"	"Chapter 13: Zacharias da Salo"	"94"										"o"	"00000100.tif"	
