"CDM_LVL"	"CDM_LVL_NAME"	"Titel"	"Quelle"	"Publikation"	"Ausgabe"	"Autor"	"Jahr"	"Verlag"	"Ort"	"Typ"	"Dateiformat"	"Bemerkungen"	"Dateiname"	
	"Rätoromanische Chrestomathie"	"Rätoromanische Chrestomathie"	"http://www.digizeitschriften.de/resolveppn/PPN345572629_0018"	"Romanische Forschungen"	"18"	"C. Decurtins"	"1905"	"Junge"	"Erlangen"	"Image"	"image/tif"	
"0"	"Rätoromanische Chrestomathie"	"Titelblatt"										"o"	"00000005.tif"	
()()()()"1"	"TitlePage: Titelblatt"	"I"										"o"	"00000005.tif"	
"1"	"TitlePage: Titelblatt"	"II"										"o"	"00000006.tif"	
"1"	"Dedication: Frederi Mistral"	"III"										"o"	"00000007.tif"	
()"1"	"Introduction: Einleitung"	"V"										"o"	"00000009.tif"	
"1"	"Introduction: Einleitung"	"VI"										"o"	"00000010.tif"	
"1"	"Introduction: Einleitung"	"VII"										"o"	"00000011.tif"	
"1"	"Introduction: Einleitung"	"VIII"										"o"	"00000012.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"1"										"o"	"00000013.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"2"										"o"	"00000014.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"3"										"o"	"00000015.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"4"										"o"	"00000016.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"5"										"o"	"00000017.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"6"										"o"	"00000018.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"7"										"o"	"00000019.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"8"										"o"	"00000020.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"9"										"o"	"00000021.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"10"										"o"	"00000022.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"11"										"o"	"00000023.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"12"										"o"	"00000024.tif"	
"1"	"Chapter 1: Üna Historia da Alexandar lg Pitschan"	"13"										"o"	"00000025.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"14"										"o"	"00000026.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"15"										"o"	"00000027.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"16"										"o"	"00000028.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"17"										"o"	"00000029.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"18"										"o"	"00000030.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"19"										"o"	"00000031.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"20"										"o"	"00000032.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"21"										"o"	"00000033.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"22"										"o"	"00000034.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"23"										"o"	"00000035.tif"	
"1"	"Chapter 2: L'istorgia dall cavalier Peter et da la bella Magullonia"	"24"										"o"	"00000036.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"25"										"o"	"00000037.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"26"										"o"	"00000038.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"27"										"o"	"00000039.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"28"										"o"	"00000040.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"29"										"o"	"00000041.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"30"										"o"	"00000042.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"31"										"o"	"00000043.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"32"										"o"	"00000044.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"33"										"o"	"00000045.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"34"										"o"	"00000046.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"35"										"o"	"00000047.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"36"										"o"	"00000048.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"37"										"o"	"00000049.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"38"										"o"	"00000050.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"39"										"o"	"00000051.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"40"										"o"	"00000052.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"41"										"o"	"00000053.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"42"										"o"	"00000054.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"43"										"o"	"00000055.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"44"										"o"	"00000056.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"45"										"o"	"00000057.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"46"										"o"	"00000058.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"47"										"o"	"00000059.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"48"										"o"	"00000060.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"49"										"o"	"00000061.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"50"										"o"	"00000062.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"51"										"o"	"00000063.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"52"										"o"	"00000064.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"53"										"o"	"00000065.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"54"										"o"	"00000066.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"55"										"o"	"00000067.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"56"										"o"	"00000068.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"57"										"o"	"00000069.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"58"										"o"	"00000070.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"59"										"o"	"00000071.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"60"										"o"	"00000072.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"61"										"o"	"00000073.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"62"										"o"	"00000074.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"63"										"o"	"00000075.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"64"										"o"	"00000076.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"65"										"o"	"00000077.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"66"										"o"	"00000078.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"67"										"o"	"00000079.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"68"										"o"	"00000080.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"69"										"o"	"00000081.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"70"										"o"	"00000082.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"71"										"o"	"00000083.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"72"										"o"	"00000084.tif"	
"1"	"Chapter 3: [Alchiünas bellas et nüzaivlas Histoargias]"	"73"										"o"	"00000085.tif"	
