"CDM_LVL"	"CDM_LVL_NAME"	"Titel"	"Quelle"	"Publikation"	"Ausgabe"	"Autor"	"Jahr"	"Verlag"	"Ort"	"Typ"	"Dateiformat"	"Bemerkungen"	"Dateiname"	
	"Rätoromanische Chrestomathie"	"Rätoromanische Chrestomathie"	"http://www.digizeitschriften.de/resolveppn/PPN345572629_0012"	"Romanische Forschungen"	"12"	"C. Decurtins"	"1900"	"Junge"	"Erlangen"	"Image"	"image/tif"	
"0"	"Rätoromanische Chrestomathie"	"Titelblatt"										"o"	"00000005.tif"	
()()()()()()()()"1"	"TitlePage: Titelblatt"	"I"										"o"	"00000009.tif"	
"1"	"TitlePage: Titelblatt"	"II"										"o"	"00000010.tif"	
"1"	"Chapter 1: Gian Travers"	"1"										"o"	"00000011.tif"	
"1"	"Chapter 1: Gian Travers"	"2"										"o"	"00000012.tif"	
"1"	"Chapter 1: Gian Travers"	"3"										"o"	"00000013.tif"	
"1"	"Chapter 1: Gian Travers"	"4"										"o"	"00000014.tif"	
"1"	"Chapter 1: Gian Travers"	"5"										"o"	"00000015.tif"	
"1"	"Chapter 1: Gian Travers"	"6"										"o"	"00000016.tif"	
"1"	"Chapter 1: Gian Travers"	"7"										"o"	"00000017.tif"	
"1"	"Chapter 1: Gian Travers"	"8"										"o"	"00000018.tif"	
"1"	"Chapter 1: Gian Travers"	"9"										"o"	"00000019.tif"	
"1"	"Chapter 1: Gian Travers"	"10"										"o"	"00000020.tif"	
"1"	"Chapter 1: Gian Travers"	"11"										"o"	"00000021.tif"	
"1"	"Chapter 1: Gian Travers"	"12"										"o"	"00000022.tif"	
"1"	"Chapter 1: Gian Travers"	"13"										"o"	"00000023.tif"	
"1"	"Chapter 1: Gian Travers"	"14"										"o"	"00000024.tif"	
"1"	"Chapter 1: Gian Travers"	"15"										"o"	"00000025.tif"	
"1"	"Chapter 1: Gian Travers"	"16"										"o"	"00000026.tif"	
"1"	"Chapter 1: Gian Travers"	"17"										"o"	"00000027.tif"	
"1"	"Chapter 1: Gian Travers"	"18"										"o"	"00000028.tif"	
"1"	"Chapter 1: Gian Travers"	"19"										"o"	"00000029.tif"	
"1"	"Chapter 1: Gian Travers"	"20"										"o"	"00000030.tif"	
"1"	"Chapter 1: Gian Travers"	"21"										"o"	"00000031.tif"	
"1"	"Chapter 1: Gian Travers"	"22"										"o"	"00000032.tif"	
"1"	"Chapter 1: Gian Travers"	"23"										"o"	"00000033.tif"	
"1"	"Chapter 1: Gian Travers"	"24"										"o"	"00000034.tif"	
"1"	"Chapter 1: Gian Travers"	"25"										"o"	"00000035.tif"	
"1"	"Chapter 1: Gian Travers"	"26"										"o"	"00000036.tif"	
"1"	"Chapter 1: Gian Travers"	"27"										"o"	"00000037.tif"	
"1"	"Chapter 1: Gian Travers"	"28"										"o"	"00000038.tif"	
"1"	"Chapter 1: Gian Travers"	"29"										"o"	"00000039.tif"	
"1"	"Chapter 1: Gian Travers"	"30"										"o"	"00000040.tif"	
"1"	"Chapter 1: Gian Travers"	"31"										"o"	"00000041.tif"	
"1"	"Chapter 1: Gian Travers"	"32"										"o"	"00000042.tif"	
"1"	"Chapter 1: Gian Travers"	"33"										"o"	"00000043.tif"	
"1"	"Chapter 1: Gian Travers"	"34"										"o"	"00000044.tif"	
"1"	"Chapter 1: Gian Travers"	"35"										"o"	"00000045.tif"	
"1"	"Chapter 1: Gian Travers"	"36"										"o"	"00000046.tif"	
"1"	"Chapter 1: Gian Travers"	"37"										"o"	"00000047.tif"	
"1"	"Chapter 1: Gian Travers"	"38"										"o"	"00000048.tif"	
