"CDM_LVL"	"CDM_LVL_NAME"	"Titel"	"Quelle"	"Publikation"	"Ausgabe"	"Autor"	"Jahr"	"Verlag"	"Ort"	"Typ"	"Dateiformat"	"Bemerkungen"	"Dateiname"	
	"Rätoromanische Chrestomathie"	"Rätoromanische Chrestomathie"	"http://www.digizeitschriften.de/resolveppn/PPN345572629_0030"	"Romanische Forschungen"	"30"	"C. Decurtins"	"1911"	"Junge"	"Erlangen"	"Image"	"image/tif"	
"0"	"Rätoromanische Chrestomathie"	"Titelblatt"										"o"	"00000005.tif"	
()()()()()()()()()()"1"	"Introduction: Einleitung"	"5"										"o"	"00000011.tif"	
"1"	"Introduction: Einleitung"	"6"										"o"	"00000012.tif"	
"1"	"Introduction: Einleitung"	"7"										"o"	"00000013.tif"	
"1"	"Introduction: Einleitung"	"8"										"o"	"00000014.tif"	
"1"	"Introduction: Einleitung"	"9"										"o"	"00000015.tif"	
"1"	"Chapter 1: Handschriften"	"10"										"o"	"00000016.tif"	
"1"	"Chapter 1: Handschriften"	"11"										"o"	"00000017.tif"	
"1"	"Chapter 1: Handschriften"	"12"										"o"	"00000018.tif"	
"1"	"Chapter 1: Handschriften"	"13"										"o"	"00000019.tif"	
"1"	"Chapter 1: Handschriften"	"14"										"o"	"00000020.tif"	
"1"	"Chapter 1: Handschriften"	"15"										"o"	"00000021.tif"	
"1"	"Chapter 1: Handschriften"	"16"										"o"	"00000022.tif"	
"1"	"Chapter 2: Orden per ilg gij de cumin"	"17"										"o"	"00000023.tif"	
"1"	"Chapter 2: Orden per ilg gij de cumin"	"18"										"o"	"00000024.tif"	
"1"	"Chapter 3: Fuormas dils seraments"	"19"										"o"	"00000025.tif"	
"1"	"Chapter 3: Fuormas dils seraments"	"20"										"o"	"00000026.tif"	
"1"	"Chapter 3: Fuormas dils seraments"	"21"										"o"	"00000027.tif"	
"1"	"Chapter 3: Fuormas dils seraments"	"22"										"o"	"00000028.tif"	
"1"	"Chapter 4: Reglas digl menar igl dreigt"	"23"										"o"	"00000029.tif"	
"1"	"Chapter 4: Reglas digl menar igl dreigt"	"24"										"o"	"00000030.tif"	
"1"	"Chapter 4: Reglas digl menar igl dreigt"	"25"										"o"	"00000031.tif"	
"1"	"Chapter 4: Reglas digl menar igl dreigt"	"26"										"o"	"00000032.tif"	
"1"	"Chapter 5: Fuorma u ceremonial, che ven dovrau enten il Cumin de la Cadi per la dartgira criminala"	"27"										"o"	"00000033.tif"	
"1"	"Chapter 5: Fuorma u ceremonial, che ven dovrau enten il Cumin de la Cadi per la dartgira criminala"	"28"										"o"	"00000034.tif"	
"1"	"Chapter 5: Fuorma u ceremonial, che ven dovrau enten il Cumin de la Cadi per la dartgira criminala"	"29"										"o"	"00000035.tif"	
"1"	"Chapter 5: Fuorma u ceremonial, che ven dovrau enten il Cumin de la Cadi per la dartgira criminala"	"30"										"o"	"00000036.tif"	
"1"	"Chapter 5: Fuorma u ceremonial, che ven dovrau enten il Cumin de la Cadi per la dartgira criminala"	"31"										"o"	"00000037.tif"	
"1"	"Chapter 5: Fuorma u ceremonial, che ven dovrau enten il Cumin de la Cadi per la dartgira criminala"	"32"										"o"	"00000038.tif"	
"1"	"Chapter 5: Fuorma u ceremonial, che ven dovrau enten il Cumin de la Cadi per la dartgira criminala"	"33"										"o"	"00000039.tif"	
"1"	"Chapter 5: Fuorma u ceremonial, che ven dovrau enten il Cumin de la Cadi per la dartgira criminala"	"34"										"o"	"00000040.tif"	
"1"	"Chapter 6: Status Dilg cumin d'Uors"	"35"										"o"	"00000041.tif"	
"1"	"Chapter 6: Status Dilg cumin d'Uors"	"36"										"o"	"00000042.tif"	
"1"	"Chapter 6: Status Dilg cumin d'Uors"	"37"										"o"	"00000043.tif"	
"1"	"Chapter 6: Status Dilg cumin d'Uors"	"38"										"o"	"00000044.tif"	
"1"	"Chapter 6: Status Dilg cumin d'Uors"	"39"										"o"	"00000045.tif"	
"1"	"Chapter 7: Furmas dils Saraments"	"40"										"o"	"00000046.tif"	
"1"	"Chapter 7: Furmas dils Saraments"	"41"										"o"	"00000047.tif"	
"1"	"Chapter 7: Furmas dils Saraments"	"42"										"o"	"00000048.tif"	
"1"	"Chapter 8: Nova Pratica"	"43"										"o"	"00000049.tif"	
"1"	"Chapter 8: Nova Pratica"	"44"										"o"	"00000050.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"45"										"o"	"00000051.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"46"										"o"	"00000052.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"47"										"o"	"00000053.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"48"										"o"	"00000054.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"49"										"o"	"00000055.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"50"										"o"	"00000056.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"51"										"o"	"00000057.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"52"										"o"	"00000058.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"53"										"o"	"00000059.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"54"										"o"	"00000060.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"55"										"o"	"00000061.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"56"										"o"	"00000062.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"57"										"o"	"00000063.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"58"										"o"	"00000064.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"59"										"o"	"00000065.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"60"										"o"	"00000066.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"61"										"o"	"00000067.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"62"										"o"	"00000068.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"63"										"o"	"00000069.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"64"										"o"	"00000070.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"65"										"o"	"00000071.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"66"										"o"	"00000072.tif"	
"1"	"Chapter 9: Status dil Cumin da Trin"	"67"										"o"	"00000073.tif"	
"1"	"Chapter 10: Documents"	"68"										"o"	"00000074.tif"	
"1"	"Chapter 10: Documents"	"69"										"o"	"00000075.tif"	
"1"	"Chapter 10: Documents"	"70"										"o"	"00000076.tif"	
"1"	"Chapter 11: Notificau ils saloms velgs"	"71"										"o"	"00000077.tif"	
"1"	"Chapter 11: Notificau ils saloms velgs"	"72"										"o"	"00000078.tif"	
"1"	"Chapter 11: Notificau ils saloms velgs"	"73"										"o"	"00000079.tif"	
"1"	"Chapter 12: Ils specias artickels d'ilg Cumin da Scheid a Vieulden"	"74"										"o"	"00000080.tif"	
"1"	"Chapter 12: Ils specias artickels d'ilg Cumin da Scheid a Vieulden"	"75"										"o"	"00000081.tif"	
"1"	"Chapter 12: Ils specias artickels d'ilg Cumin da Scheid a Vieulden"	"76"										"o"	"00000082.tif"	
"1"	"Chapter 13: Bref da partazun"	"77"										"o"	"00000083.tif"	
"1"	"Chapter 13: Bref da partazun"	"78"										"o"	"00000084.tif"	
"1"	"Chapter 13: Bref da partazun"	"79"										"o"	"00000085.tif"	
"1"	"Chapter 13: Bref da partazun"	"80"										"o"	"00000086.tif"	
"1"	"Chapter 13: Bref da partazun"	"81"										"o"	"00000087.tif"	
"1"	"Chapter 13: Bref da partazun"	"82"										"o"	"00000088.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"83"										"o"	"00000089.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"84"										"o"	"00000090.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"85"										"o"	"00000091.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"86"										"o"	"00000092.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"87"										"o"	"00000093.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"88"										"o"	"00000094.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"89"										"o"	"00000095.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"90"										"o"	"00000096.tif"	
"1"	"Chapter 14: Tschentaments dilg Cumin da Muntognia renovai ilg Onn 1836"	"91"										"o"	"00000097.tif"	
