"CDM_LVL"	"CDM_LVL_NAME"	"Titel"	"Quelle"	"Publikation"	"Ausgabe"	"Autor"	"Jahr"	"Verlag"	"Ort"	"Typ"	"Dateiformat"	"Bemerkungen"	"Dateiname"	
	"Rätoromanische Chrestomathie"	"Rätoromanische Chrestomathie"	"http://www.digizeitschriften.de/resolveppn/PPN345572629_0024"	"Romanische Forschungen"	"24"	"C. Decurtins"	"1907"	"Junge"	"Erlangen"	"Image"	"image/tif"	
"0"	"Rätoromanische Chrestomathie"	"Titelblatt"										"o"	"00000005.tif"	
()()()()()()()()"1"	"Chapter 1: Gian Battista Sandri"	"1"										"o"	"00000009.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"2"										"o"	"00000010.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"3"										"o"	"00000011.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"4"										"o"	"00000012.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"5"										"o"	"00000013.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"6"										"o"	"00000014.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"7"										"o"	"00000015.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"8"										"o"	"00000016.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"9"										"o"	"00000017.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"10"										"o"	"00000018.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"11"										"o"	"00000019.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"12"										"o"	"00000020.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"13"										"o"	"00000021.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"14"										"o"	"00000022.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"15"										"o"	"00000023.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"16"										"o"	"00000024.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"17"										"o"	"00000025.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"18"										"o"	"00000026.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"19"										"o"	"00000027.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"20"										"o"	"00000028.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"21"										"o"	"00000029.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"22"										"o"	"00000030.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"23"										"o"	"00000031.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"24"										"o"	"00000032.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"25"										"o"	"00000033.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"26"										"o"	"00000034.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"27"										"o"	"00000035.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"28"										"o"	"00000036.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"29"										"o"	"00000037.tif"	
"1"	"Chapter 1: Gian Battista Sandri"	"30"										"o"	"00000038.tif"	
