"CDM_LVL"	"CDM_LVL_NAME"	"Titel"	"Quelle"	"Publikation"	"Ausgabe"	"Autor"	"Jahr"	"Verlag"	"Ort"	"Typ"	"Dateiformat"	"Bemerkungen"	"Dateiname"	
	"Rätoromanische Chrestomathie"	"Rätoromanische Chrestomathie"	"http://www.digizeitschriften.de/resolveppn/PPN345572629_0037"	"Romanische Forschungen"	"37"	"C. Decurtins"	"1917"	"Junge"	"Erlangen"	"Image"	"image/tif"	
"0"	"Rätoromanische Chrestomathie"	"Titelblatt"										"o"	"00000005.tif"	
()()()()"1"	"Preface: Vorwort"	"III"										"o"	"00000005.tif"	
"1"	"Preface: Vorwort"	"IV"										"o"	"00000006.tif"	
"1"	"Preface: Vorwort"	"V"										"o"	"00000007.tif"	
"1"	"Preface: Vorwort"	"VI"										"o"	"00000008.tif"	
"1"	"Chapter 1: La Charta De La Liga In Rvmansz D'Bregalia"	"1"										"o"	"00000009.tif"	
"1"	"Chapter 1: La Charta De La Liga In Rvmansz D'Bregalia"	"2"										"o"	"00000010.tif"	
"1"	"Chapter 1: La Charta De La Liga In Rvmansz D'Bregalia"	"3"										"o"	"00000011.tif"	
"1"	"Chapter 1: La Charta De La Liga In Rvmansz D'Bregalia"	"4"										"o"	"00000012.tif"	
"1"	"Chapter 1: La Charta De La Liga In Rvmansz D'Bregalia"	"5"										"o"	"00000013.tif"	
"1"	"Chapter 2: Gian Maurizio"	"6"										"o"	"00000014.tif"	
"1"	"Chapter 2: Gian Maurizio"	"7"										"o"	"00000015.tif"	
"1"	"Chapter 2: Gian Maurizio"	"8"										"o"	"00000016.tif"	
"1"	"Chapter 2: Gian Maurizio"	"9"										"o"	"00000017.tif"	
"1"	"Chapter 2: Gian Maurizio"	"10"										"o"	"00000018.tif"	
"1"	"Chapter 2: Gian Maurizio"	"11"										"o"	"00000019.tif"	
"1"	"Chapter 2: Gian Maurizio"	"12"										"o"	"00000020.tif"	
"1"	"Chapter 2: Gian Maurizio"	"13"										"o"	"00000021.tif"	
"1"	"Chapter 2: Gian Maurizio"	"14"										"o"	"00000022.tif"	
"1"	"Chapter 2: Gian Maurizio"	"15"										"o"	"00000023.tif"	
"1"	"Chapter 2: Gian Maurizio"	"16"										"o"	"00000024.tif"	
"1"	"Chapter 2: Gian Maurizio"	"17"										"o"	"00000025.tif"	
"1"	"Chapter 2: Gian Maurizio"	"18"										"o"	"00000026.tif"	
"1"	"Chapter 2: Gian Maurizio"	"19"										"o"	"00000027.tif"	
"1"	"Chapter 2: Gian Maurizio"	"20"										"o"	"00000028.tif"	
"1"	"Chapter 2: Gian Maurizio"	"21"										"o"	"00000029.tif"	
"1"	"Chapter 2: Gian Maurizio"	"22"										"o"	"00000030.tif"	
"1"	"Chapter 2: Gian Maurizio"	"23"										"o"	"00000031.tif"	
"1"	"Chapter 2: Gian Maurizio"	"24"										"o"	"00000032.tif"	
"1"	"Chapter 2: Gian Maurizio"	"25"										"o"	"00000033.tif"	
"1"	"Chapter 2: Gian Maurizio"	"26"										"o"	"00000034.tif"	
"1"	"Chapter 2: Gian Maurizio"	"27"										"o"	"00000035.tif"	
"1"	"Chapter 2: Gian Maurizio"	"28"										"o"	"00000036.tif"	
"1"	"Chapter 2: Gian Maurizio"	"29"										"o"	"00000037.tif"	
"1"	"Chapter 2: Gian Maurizio"	"30"										"o"	"00000038.tif"	
"1"	"Chapter 2: Gian Maurizio"	"31"										"o"	"00000039.tif"	
"1"	"Chapter 2: Gian Maurizio"	"32"										"o"	"00000040.tif"	
"1"	"Chapter 2: Gian Maurizio"	"33"										"o"	"00000041.tif"	
"1"	"Chapter 2: Gian Maurizio"	"34"										"o"	"00000042.tif"	
