"CDM_LVL"	"CDM_LVL_NAME"	"Titel"	"Quelle"	"Publikation"	"Ausgabe"	"Autor"	"Jahr"	"Verlag"	"Ort"	"Typ"	"Dateiformat"	"Bemerkungen"	"Dateiname"	
	"Rätoromanische Chrestomathie I. Band 3. Lieferung"	"Rätoromanische Chrestomathie I. Band 3. Lieferung"	"http://www.digizeitschriften.de/resolveppn/PPN345572629_0008"	"Romanische Forschungen"	"8"	"C. Decurtins"	"1896"	"Junge"	"Erlangen"	"Image"	"image/tif"	
"0"	"Rätoromanische Chrestomathie I. Band 3. Lieferung"	"Titelblatt"										"o"	"00000005.tif"	
()()()()()()"1"	"Chapter 1: Cuort Entruidament de Carmelo, 1700"	"1"										"o"	"00000007.tif"	
"1"	"Chapter 2: Ina Canzun da Malla Curada Da Herculauß De Capaull"	"2"										"o"	"00000008.tif"	
"1"	"Chapter 3: L'uiara de Sagoing"	"3"										"o"	"00000009.tif"	
"1"	"Chapter 3: L'uiara de Sagoing"	"4"										"o"	"00000010.tif"	
"1"	"Chapter 3: L'uiara de Sagoing"	"5"										"o"	"00000011.tif"	
"1"	"Chapter 3: L'uiara de Sagoing"	"6"										"o"	"00000012.tif"	
"1"	"Chapter 4: Canzun S. Martin"	"7"										"o"	"00000013.tif"	
"1"	"Chapter 6: Carl de Curtins"	"8"										"o"	"00000014.tif"	
"1"	"Chapter 6: Carl de Curtins"	"9"										"o"	"00000015.tif"	
"1"	"Chapter 6: Carl de Curtins"	"10"										"o"	"00000016.tif"	
"1"	"Chapter 6: Carl de Curtins"	"11"										"o"	"00000017.tif"	
"1"	"Chapter 7: Il Viadi a Jerusalem (vier Paralleltexte)"	"12"										"o"	"00000018.tif"	
"1"	"Chapter 7: Il Viadi a Jerusalem (vier Paralleltexte)"	"13"										"o"	"00000019.tif"	
"1"	"Chapter 7: Il Viadi a Jerusalem (vier Paralleltexte)"	"14"										"o"	"00000020.tif"	
"1"	"Chapter 7: Il Viadi a Jerusalem (vier Paralleltexte)"	"15"										"o"	"00000021.tif"	
"1"	"Chapter 7: Il Viadi a Jerusalem (vier Paralleltexte)"	"16"										"o"	"00000022.tif"	
"1"	"Chapter 7: Il Viadi a Jerusalem (vier Paralleltexte)"	"17"										"o"	"00000023.tif"	
"1"	"Chapter 7: Il Viadi a Jerusalem (vier Paralleltexte)"	"18"										"o"	"00000024.tif"	
